iter	Passed	Remaining
480	615	664
481	616	662
482	617	661
483	618	659
484	619	657
485	620	655
486	621	654
487	621	652
488	622	650
489	623	648
490	624	647
491	626	647
492	627	645
493	628	643
494	629	641
495	629	640
496	630	638
497	631	636
498	632	634
499	633	633
500	633	631
501	634	629
502	635	627
503	636	626
504	637	624
505	637	622
506	638	621
507	641	620
508	642	619
509	642	617
510	643	616
511	644	614
512	645	613
513	646	611
514	647	609
515	648	608
516	649	606
517	650	604
518	651	603
519	651	601
520	652	600
521	653	598
522	656	598
523	657	596
524	657	595
525	658	593
526	659	592
527	660	590
528	661	588
529	662	587
530	663	585
531	664	584
532	664	582
533	665	580
534	666	579
535	667	577
536	668	576
537	670	575
538	671	574
539	672	572
540	673	571
541	674	570
542	675	568
543	676	567
544	677	565
545	678	563
546	678	562
547	679	560
548	680	559
549	681	557
550	682	556
551	684	555
552	685	554
553	686	553
554	688	552
555	689	550
556	690	549
557	691	547
558	692	546
559	693	544
560	694	543
561	694	541
562	695	540
563	696	538
564	698	537
565	700	536
566	701	535
567	702	534
568	703	532
569	704	531
570	705	530
571	706	528
572	707	527
573	708	525
574	708	523
575	709	522
576	710	520
577	711	519
578	715	519
579	717	519
580	718	517
581	719	516
582	720	515
583	721	513
584	722	512
585	722	510
586	723	509
587	724	507
588	725	506
589	728	506
590	730	505
591	731	504
592	732	502
593	733	501
594	734	500
595	735	498
596	736	497
597	737	495
598	738	494
599	743	495
600	745	494
601	746	493
602	747	491
603	748	490
604	749	489
605	750	488
606	751	486
607	752	485
608	757	486
609	759	485
610	760	484
611	761	482
612	763	481
613	765	481
614	766	480
615	771	480
616	774	480
617	775	479
618	776	477
619	777	476
620	778	475
621	779	473
622	780	472
623	781	471
624	782	469
625	786	469
626	789	469
627	790	468
628	791	466
629	792	465
630	793	463
631	794	462
632	795	461
633	796	459
634	797	458
635	801	458
636	804	458
637	805	456
638	806	455
639	807	454
640	808	452
641	809	451
642	810	449
643	811	448
644	812	446
645	815	447
646	818	446
647	819	445
648	820	443
649	821	442
650	823	441
651	824	439
652	824	438
653	825	436
654	826	435
655	830	435
656	833	434
657	834	433
658	835	432
659	836	430
660	837	429
661	838	428
662	839	426
663	840	425
664	841	423
665	844	423
666	846	422
667	847	421
668	848	419
669	849	418
670	850	417
671	852	416
672	853	414
673	854	413
674	854	411
675	859	411
676	861	411
677	862	409
678	863	408
679	864	406
680	865	405
681	866	404
682	867	402
683	868	401
684	869	399
685	873	399
686	876	399
687	877	397
688	881	397
689	882	396
690	883	395
691	890	396
692	892	395
693	895	394
694	897	393
695	898	392
696	905	393
697	907	392
698	908	391
699	910	390
700	911	388
701	912	387
702	913	386
703	918	386
704	921	385
705	922	384
706	923	382
707	927	382
708	937	384
709	942	384
710	944	384
711	953	385
712	955	384
713	960	384
714	968	386
715	970	384
716	971	383
717	973	382
718	975	381
719	976	379
720	980	379
721	983	378
722	984	377
723	985	375
724	988	374
725	989	373
726	990	372
727	991	370
728	995	370
729	997	368
730	999	367
731	1001	366
732	1002	365
733	1003	363
734	1004	362
735	1006	361
736	1008	359
737	1010	358
738	1011	357
739	1012	355
740	1013	354
741	1014	352
742	1015	351
743	1015	349
744	1016	347
745	1017	346
746	1018	344
747	1022	344
748	1024	343
749	1025	341
750	1026	340
751	1027	338
752	1029	337
753	1030	336
754	1031	334
755	1031	333
756	1032	331
757	1033	329
758	1037	329
759	1039	328
760	1040	326
761	1041	325
762	1042	323
763	1043	322
764	1044	320
765	1044	319
766	1045	317
767	1046	316
768	1047	314
769	1048	313
770	1050	312
771	1052	310
772	1053	309
773	1054	307
774	1055	306
775	1056	304
776	1057	303
777	1057	301
778	1058	300
779	1059	298
780	1060	297
781	1061	295
782	1062	294
783	1064	293
784	1065	291
785	1067	290
786	1067	289
787	1068	287
788	1069	286
789	1070	284
790	1071	283
791	1071	281
792	1072	280
793	1073	278
794	1074	277
795	1075	275
796	1076	274
797	1077	272
798	1080	271
799	1081	270
800	1082	268
801	1083	267
802	1083	265
803	1084	264
804	1085	263
805	1086	261
806	1087	260
807	1088	258
808	1089	257
809	1090	255
810	1093	254
811	1095	253
812	1096	252
813	1096	250
814	1097	249
815	1098	247
816	1099	246
817	1100	244
818	1101	243
819	1101	241
820	1102	240
821	1103	238
822	1104	237
823	1105	236
824	1107	234
825	1109	233
826	1110	232
827	1110	230
828	1111	229
829	1112	227
830	1113	226
831	1114	225
832	1115	223
833	1115	222
834	1116	220
835	1117	219
836	1118	217
837	1119	216
838	1121	215
839	1122	213
840	1123	212
841	1124	211
842	1125	209
843	1126	208
844	1127	206
845	1128	205
846	1129	203
847	1130	202
848	1130	201
849	1131	199
850	1132	198
851	1133	196
852	1134	195
853	1136	194
854	1137	192
855	1138	191
856	1139	190
857	1139	188
858	1140	187
859	1141	185
860	1142	184
861	1143	183
862	1143	181
863	1144	180
864	1145	178
865	1146	177
866	1148	176
867	1151	175
868	1152	173
869	1153	172
870	1154	170
871	1155	169
872	1156	168
873	1157	166
874	1157	165
875	1158	164
876	1159	162
877	1160	161
878	1161	159
879	1162	158
880	1162	157
881	1165	155
882	1166	154
883	1167	153
884	1167	151
885	1168	150
886	1169	148
887	1170	147
888	1171	146
889	1171	144
890	1172	143
891	1173	142
892	1174	140
893	1175	139
894	1176	137
895	1176	136
896	1178	135
897	1180	134
898	1180	132
899	1181	131
900	1182	129
901	1183	128
902	1184	127
903	1185	125
904	1185	124
905	1186	123
906	1187	121
907	1188	120
908	1189	119
909	1189	117
910	1190	116
911	1191	114
912	1193	113
913	1194	112
914	1195	111
915	1196	109
916	1197	108
917	1197	107
918	1198	105
919	1199	104
920	1200	102
921	1201	101
922	1201	100
923	1202	98
924	1203	97
925	1204	96
926	1205	94
927	1206	93
928	1208	92
929	1209	91
930	1210	89
931	1211	88
932	1212	87
933	1213	85
934	1214	84
935	1215	83
936	1215	81
937	1216	80
938	1217	79
939	1218	77
940	1219	76
941	1220	75
942	1221	73
943	1223	72
944	1223	71
945	1224	69
946	1225	68
947	1226	67
948	1227	65
949	1228	64
950	1229	63
951	1230	62
952	1230	60
953	1231	59
954	1232	58
955	1233	56
956	1234	55
957	1234	54
958	1237	52
959	1237	51
960	1238	50
961	1239	48
962	1240	47
963	1241	46
964	1242	45
965	1242	43
966	1243	42
967	1244	41
968	1245	39
969	1246	38
970	1247	37
971	1248	35
972	1249	34
973	1251	33
974	1252	32
975	1252	30
976	1253	29
977	1254	28
978	1255	26
979	1256	25
980	1257	24
981	1257	23
982	1258	21
983	1259	20
984	1259	19
985	1260	17
986	1261	16
987	1261	15
988	1262	14
989	1263	12
990	1264	11
991	1266	10
992	1266	8
993	1267	7
994	1268	6
995	1269	5
996	1270	3
997	1271	2
998	1271	1
999	1272	0
